StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q2,Q3,Q4,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q8_1,Q9_1,Q9_2,Q10_1,Q11_1,Q11_2,Q12_1,Q13_1,Q13_2,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12
2024-03-16 10:37:24,2024-03-16 10:40:36,IP Address,185.134.146.244,100,191,True,2024-03-16 10:40:37,R_45S2iEPDBn4z7dT,,,,,53.3297,-6.2708,anonymous,EN,I agree,42,Male,Manufacturing and Industrial,4,3,4,5,4,4,5,4,3,4,5,,5,3,2,4,4,2,3,3,3,2,4,3,4,4,4
2024-03-16 15:45:49,2024-03-16 15:50:01,IP Address,79.255.200.101,100,251,True,2024-03-16 15:50:01,R_4e4P492JWag1K4p,,,,,49.0015,9.4957,anonymous,EN,I agree,25,Male,Consulting,5,5,5,4,4,5,5,1,1,,2,2,,5,3,4,4,5,,5,4,5,5,4,5,5,4
2024-03-19 12:41:17,2024-03-19 12:44:30,IP Address,136.206.9.226,100,193,True,2024-03-19 12:44:31,R_8mxicoHwnQLe8SC,,,,,53.3857,-6.2403,anonymous,EN,I agree,23,Female,Information Technology and Services,1,3,4,5,4,,3,2,1,4,5,4,3,5,4,4,5,4,5,3,4,5,2,4,4,5,5
2024-03-19 12:42:22,2024-03-19 12:45:21,IP Address,136.206.9.148,100,179,True,2024-03-19 12:45:21,R_8SBw2w2UDUW3eOY,,,,,53.3857,-6.2403,anonymous,EN,I agree,23,Female,Consulting,4,4,5,4,4,5,3,1,1,2,3,2,3,5,3,2,2,3,4,4,2,4,3,3,3,3,4
2024-03-19 14:16:34,2024-03-19 14:20:55,IP Address,176.3.152.2,100,261,True,2024-03-19 14:20:55,R_2WM8v9fjYEM3ur3,,,,,48.767,9.1827,anonymous,EN,I agree,22,Female,Consulting,5,5,5,4,3,4,5,1,4,4,4,3,4,4,5,2,4,4,3,4,5,4,5,4,4,4,5
2024-03-15 12:50:05,2024-03-15 12:50:11,IP Address,185.134.146.231,8,6,False,2024-03-22 12:50:19,R_6NmpWMLP3ianrY5,,,,,,,anonymous,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-15 13:15:45,2024-03-15 13:16:11,IP Address,104.28.135.80,31,26,False,2024-03-22 13:16:14,R_1mQTli3oRqSyZcf,,,,,,,anonymous,EN,I agree,36,Male,Finance and Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-15 18:28:35,2024-03-15 18:31:07,IP Address,176.6.184.235,92,151,False,2024-03-22 18:31:12,R_400YbFcIqVhgVI5,,,,,,,anonymous,EN,I agree,24,Female,Consulting,4,4,5,2,2,2,5,4,5,4,2,2,4,5,3,,,,,,,,,,,,
2024-03-24 23:52:49,2024-03-24 23:56:48,IP Address,148.88.245.249,100,239,True,2024-03-24 23:56:49,R_1dEbr5lOWSSQFJx,,,,,54.0479,-2.7977,anonymous,EN,I agree,23,Female,Retail and Consumer Goods,2,4,4,5,2,4,4,2,2,3,3,2,4,4,3,3,4,3,3,4,3,2,3,3,4,3,4
2024-03-25 04:09:17,2024-03-25 04:13:15,IP Address,23.16.205.78,100,237,True,2024-03-25 04:13:16,R_5pPXMCsI8Cnc0qQ,,,,,49.2635,-122.9331,anonymous,EN,I agree,21,Female,Finance and Insurance,5,3,5,5,5,5,5,,,2,5,3,5,5,4,4,5,3,,5,2,,2,,2,,5
2024-03-25 06:30:57,2024-03-25 06:35:38,IP Address,87.142.199.13,100,280,True,2024-03-25 06:35:38,R_5WC2gfTz0ibCKMb,,,,,51.0831,13.691,anonymous,EN,I agree,21,Female,Other Industries,3,3,3,3,3,3,3,3,3,2,2,2,3,4,4,3,2,2,3,3,3,3,2,3,3,3,4
2024-03-25 07:57:33,2024-03-25 08:35:01,IP Address,185.38.49.1,100,2247,True,2024-03-25 08:35:02,R_14Y4eK9k1T67wyZ,,,,,50.9596,14.7048,anonymous,EN,I agree,66 years,Female,Finance and Insurance,4,3,4,4,3,3,3,3,3,4,3,4,4,2,4,4,5,3,3,4,3,4,3,3,4,4,2
2024-03-25 21:19:03,2024-03-25 21:23:54,IP Address,148.88.245.66,100,290,True,2024-03-25 21:23:54,R_3CmSKBnjs0GKlmF,,,,,54.0479,-2.7977,anonymous,EN,I agree,23,Female,Information Technology and Services,5,4,4,4,2,2,5,2,2,4,4,4,4,5,3,4,4,4,3,4,4,4,3,3,3,3,4
2024-03-27 14:59:02,2024-03-27 15:23:29,IP Address,201.150.34.157,100,1466,True,2024-03-27 15:23:30,R_4wHycfNfkuMDlGY,,,,,19.4129,-99.1478,anonymous,EN,I agree,21,Female,Consulting,2,2,1,1,5,5,5,2,1,1,3,2,2,1,1,2,5,3,2,2,3,2,4,3,2,3,4
2024-03-22 12:53:15,2024-03-22 12:53:33,IP Address,209.35.184.17,31,18,False,2024-03-29 12:53:35,R_7G4vGvjgdspTt61,,,,,,,anonymous,EN,I agree,22,Male,Healthcare and Life Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-25 08:28:49,2024-03-25 08:29:49,IP Address,79.249.191.137,31,60,False,2024-04-01 09:29:50,R_4nU5ZGhgqgxA1qV,,,,,,,anonymous,EN,I agree,,Female,Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-27 11:32:00,2024-03-27 11:40:23,IP Address,81.201.156.88,31,502,False,2024-04-03 12:40:25,R_4oKEWQLaJFD94ik,,,,,,,anonymous,EN,I agree,22,Female,Other Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28 05:51:36,2024-03-28 05:52:46,IP Address,79.242.100.240,31,69,False,2024-04-04 06:52:47,R_41vRUZUqvWdzzrv,,,,,,,anonymous,EN,I agree,45,Male,Manufacturing and Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07 16:18:33,2024-04-07 16:25:00,IP Address,109.43.113.214,100,387,True,2024-04-07 16:25:00,R_6TESGGmG3ddQCmo,,,,,50.1188,8.6843,anonymous,EN,I agree,25,Male,Government and Public Sector,3,2,3,2,4,4,3,2,4,3,3,3,3,2,5,1,1,1,2,1,2,2,1,1,1,3,4
2024-04-07 16:25:14,2024-04-07 16:27:58,IP Address,109.43.113.214,100,164,True,2024-04-07 16:27:59,R_8o7IWanEdUvm21r,,,,,50.1188,8.6843,anonymous,EN,I agree,65,Female,Education and Research,3,3,4,2,5,5,5,2,1,2,4,5,3,3,5,2,3,2,2,4,4,2,3,1,1,3,5
2024-04-07 16:28:04,2024-04-07 16:30:21,IP Address,109.43.113.214,100,136,True,2024-04-07 16:30:21,R_7ksLMmCPO49gaMF,,,,,50.1188,8.6843,anonymous,EN,I agree,21,Female,Retail and Consumer Goods,4,4,4,4,5,5,4,3,4,4,3,3,5,3,2,4,4,3,5,4,4,3,4,3,3,3,3
2024-04-07 16:30:27,2024-04-07 16:32:19,IP Address,109.43.113.214,100,111,True,2024-04-07 16:32:19,R_2fO1MUttngbH8fD,,,,,50.1188,8.6843,anonymous,EN,I agree,27,Male,Manufacturing and Industrial,2,3,3,3,2,4,3,3,3,2,3,2,2,2,2,2,2,3,3,2,3,2,1,1,1,2,1
2024-04-07 16:32:24,2024-04-07 16:34:37,IP Address,109.43.113.214,100,132,True,2024-04-07 16:34:37,R_2dmtJHgCqRrIDjw,,,,,50.1188,8.6843,anonymous,EN,I agree,31,Female,Consulting,3,4,5,5,4,4,4,5,5,5,4,5,4,4,5,4,4,4,5,3,3,5,4,4,4,3,4
2024-04-07 16:34:41,2024-04-07 16:36:10,IP Address,109.43.113.214,100,88,True,2024-04-07 16:36:10,R_22MnAi7gIiiJjpn,,,,,50.1188,8.6843,anonymous,EN,I agree,26,Female,Healthcare and Life Sciences,3,3,3,4,4,5,4,2,2,4,3,5,4,4,4,4,5,3,3,3,3,3,4,4,4,4,4
2024-04-07 16:36:26,2024-04-07 16:41:06,IP Address,109.43.113.214,100,279,True,2024-04-07 16:41:06,R_21by8rDZU0mkaYq,,,,,50.1188,8.6843,anonymous,EN,I agree,25,Female,Information Technology and Services,3,4,4,4,3,5,4,2,3,4,4,3,4,4,4,4,3,3,4,4,4,4,3,5,4,4,3
2024-04-07 16:41:11,2024-04-07 16:42:36,IP Address,109.43.113.214,100,85,True,2024-04-07 16:42:37,R_1neDKOed4CXsuHA,,,,,50.1188,8.6843,anonymous,EN,I agree,22,Male,Consulting,4,4,4,4,3,4,4,2,1,4,4,4,4,3,4,4,4,5,5,5,4,4,4,3,4,3,4
2024-04-08 10:22:11,2024-04-08 10:23:25,IP Address,185.134.146.231,100,73,True,2024-04-08 10:23:25,R_22sV4U7c4PkxMVw,,,,,53.3297,-6.2708,anonymous,EN,I agree,44,Male,Government and Public Sector,4,4,4,5,4,3,4,4,4,4,5,5,5,4,3,5,4,4,4,4,4,4,4,4,5,4,4
2024-04-08 10:23:29,2024-04-08 10:24:39,IP Address,185.134.146.231,100,70,True,2024-04-08 10:24:39,R_5KWqLKjmNxX2HcJ,,,,,53.3297,-6.2708,anonymous,EN,I agree,30,Female,Other Industries,3,3,3,3,3,3,4,3,3,4,3,3,4,4,4,3,3,4,4,3,4,4,4,4,4,5,4
2024-04-08 10:25:50,2024-04-08 10:27:03,IP Address,185.134.146.231,100,73,True,2024-04-08 10:27:04,R_1cMOmCIC48yuVqx,,,,,53.3297,-6.2708,anonymous,EN,I agree,25,Female,Finance and Insurance,3,4,4,5,5,5,5,5,4,5,5,4,5,5,4,4,5,4,4,5,5,5,4,4,4,5,4
2024-04-08 10:27:09,2024-04-08 10:28:19,IP Address,185.134.146.231,100,69,True,2024-04-08 10:28:19,R_8V1lDJmWHMgBclr,,,,,53.3297,-6.2708,anonymous,EN,I agree,23,Male,Consulting,4,2,3,3,2,3,3,4,4,5,3,4,3,3,3,4,4,5,4,4,4,4,5,4,4,4,4
2024-04-08 10:28:50,2024-04-08 10:29:50,IP Address,185.134.146.231,100,59,True,2024-04-08 10:29:50,R_2FXnNOKPjQdsygI,,,,,53.3297,-6.2708,anonymous,EN,I agree,,Male,Manufacturing and Industrial,3,3,3,3,4,4,3,3,3,4,3,3,3,4,4,3,3,4,4,4,3,4,4,4,3,3,4
2024-04-08 10:29:58,2024-04-08 10:31:09,IP Address,185.134.146.231,100,71,True,2024-04-08 10:31:09,R_32PHNGTBJ6Hn1Zm,,,,,53.3297,-6.2708,anonymous,EN,I agree,26,Female,Consulting,4,4,4,4,3,3,4,2,1,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,3,4,3
2024-04-08 10:31:14,2024-04-08 10:32:37,IP Address,185.134.146.231,100,82,True,2024-04-08 10:32:37,R_8fGHhXy2jZasnxH,,,,,53.3297,-6.2708,anonymous,EN,I agree,24,Female,Consulting,4,3,4,5,3,3,4,1,1,5,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3
2024-04-08 10:43:40,2024-04-08 10:45:03,IP Address,185.134.146.231,100,82,True,2024-04-08 10:45:03,R_8MEqs9vLCs7avL3,,,,,53.3297,-6.2708,anonymous,EN,I agree,27,Female,Information Technology and Services,5,5,4,4,4,5,4,1,1,2,4,3,3,4,2,4,4,3,3,4,3,3,3,3,4,3,4
2024-04-08 10:45:06,2024-04-08 10:46:22,IP Address,185.134.146.231,100,75,True,2024-04-08 10:46:22,R_2mr58z28Btc8NW9,,,,,53.3297,-6.2708,anonymous,EN,I agree,29,Male,Manufacturing and Industrial,4,4,3,4,3,5,5,1,2,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3
2024-04-08 10:46:27,2024-04-08 10:47:40,IP Address,185.134.146.231,100,73,True,2024-04-08 10:47:41,R_1jdl18JY1ROfoMk,,,,,53.3297,-6.2708,anonymous,EN,I agree,33,Male,Healthcare and Life Sciences,4,4,3,3,4,3,5,1,1,4,4,4,4,5,2,3,2,4,3,4,2,4,3,3,3,4,4
2024-04-08 10:47:44,2024-04-08 10:49:28,IP Address,185.134.146.231,100,103,True,2024-04-08 10:49:28,R_8FYCHYdvCD5yEqR,,,,,53.3297,-6.2708,anonymous,EN,I agree,35,Female,Consulting,2,2,3,3,2,3,2,3,4,2,3,3,2,3,2,2,2,1,3,3,2,2,2,3,2,2,2
2024-04-08 10:49:32,2024-04-08 10:51:01,IP Address,185.134.146.231,100,89,True,2024-04-08 10:51:02,R_4DjY2m8nEE7UM6t,,,,,53.3297,-6.2708,anonymous,EN,I agree,31,Female,Finance and Insurance,4,3,3,3,3,3,4,2,2,3,4,3,4,4,2,4,4,3,4,3,4,3,3,4,5,5,4
2024-04-08 10:51:05,2024-04-08 10:52:28,IP Address,185.134.146.231,100,83,True,2024-04-08 10:52:29,R_2To2YvFETHMBqan,,,,,53.3297,-6.2708,anonymous,EN,I agree,44,Female,Education and Research,4,3,4,3,4,4,5,1,1,3,4,4,3,4,4,4,4,5,4,4,4,4,3,3,4,3,4
2024-04-08 10:52:33,2024-04-08 10:54:01,IP Address,185.134.146.231,100,88,True,2024-04-08 10:54:01,R_5D7k4zrvZfKP43V,,,,,53.3297,-6.2708,anonymous,EN,I agree,45,Male,Government and Public Sector,4,5,4,3,4,3,5,1,1,4,3,3,4,4,4,2,2,3,3,4,4,3,3,5,3,3,4
2024-04-08 10:54:04,2024-04-08 10:55:24,IP Address,185.134.146.231,100,79,True,2024-04-08 10:55:25,R_7lyJXkKm1x2N2yT,,,,,53.3297,-6.2708,anonymous,EN,I agree,32,Female,Consulting,4,4,5,4,2,3,5,3,3,5,4,3,4,3,4,3,3,4,5,5,5,4,4,5,4,4,5
2024-04-08 10:55:28,2024-04-08 10:57:29,IP Address,185.134.146.231,100,120,True,2024-04-08 10:57:30,R_44hai7RAAIOjNbb,,,,,53.3297,-6.2708,anonymous,EN,I agree,28,Male,Finance and Insurance,3,3,3,3,4,3,4,1,2,4,4,3,4,4,5,4,4,3,3,4,3,4,3,4,4,3,3
2024-04-08 10:57:36,2024-04-08 10:59:58,IP Address,185.134.146.231,100,141,True,2024-04-08 10:59:58,R_2pFPhYiqQqKt2dZ,,,,,53.3297,-6.2708,anonymous,EN,I agree,42,Female,Consulting,4,4,5,3,4,4,4,4,4,3,4,5,4,4,4,4,3,4,5,4,3,4,4,5,4,3,4
2024-04-08 11:00:01,2024-04-08 11:01:11,IP Address,185.134.146.231,100,69,True,2024-04-08 11:01:12,R_2snSSNOxEcMgdKG,,,,,53.3297,-6.2708,anonymous,EN,I agree,28,Female,Retail and Consumer Goods,4,4,3,4,4,5,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,5,3,2,3,2,3
2024-04-08 11:01:25,2024-04-08 11:02:37,IP Address,185.134.146.231,100,71,True,2024-04-08 11:02:38,R_2rposFuY9Zmtjww,,,,,53.3297,-6.2708,anonymous,EN,I agree,31,Female,Energy and Utilities,3,4,3,4,4,3,5,2,1,3,4,3,4,4,3,3,4,3,4,3,4,3,4,3,4,3,3
2024-04-08 11:02:41,2024-04-08 11:03:50,IP Address,185.134.146.231,100,69,True,2024-04-08 11:03:51,R_1QgOtYvcBrtUq4N,,,,,53.3297,-6.2708,anonymous,EN,I agree,76,Male,Information Technology and Services,4,3,2,3,3,3,2,3,1,3,2,3,4,3,4,3,4,4,4,3,4,4,4,4,4,2,2
2024-04-08 11:03:58,2024-04-08 11:05:16,IP Address,185.134.146.231,100,77,True,2024-04-08 11:05:16,R_77v4r1dUPBs7HO5,,,,,53.3297,-6.2708,anonymous,EN,I agree,42,Female,Consulting,3,4,3,4,3,3,4,4,4,4,4,3,4,2,1,5,5,5,5,3,5,5,5,3,3,3,4
2024-04-08 11:05:20,2024-04-08 11:07:04,IP Address,185.134.146.231,100,103,True,2024-04-08 11:07:05,R_39lZsqpCD6Hy2AC,,,,,53.3297,-6.2708,anonymous,EN,I agree,30,Male,Consulting,4,5,5,4,1,2,5,2,1,5,2,3,5,2,3,4,5,5,4,4,3,5,5,5,5,4,5
2024-04-08 11:08:25,2024-04-08 11:10:28,IP Address,185.134.146.231,100,122,True,2024-04-08 11:10:29,R_8D7GaxHGEBAGWH5,,,,,53.3297,-6.2708,anonymous,EN,I agree,23,Female,Information Technology and Services,2,2,2,1,4,3,2,2,1,3,2,3,2,4,3,2,2,3,1,2,2,3,2,2,3,2,3
2024-04-08 11:10:32,2024-04-08 11:11:46,IP Address,185.134.146.231,100,74,True,2024-04-08 11:11:47,R_3FbxLrjDAI2wwr9,,,,,53.3297,-6.2708,anonymous,EN,I agree,26,Male,Other Industries,3,2,4,2,3,3,3,2,1,2,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1
2024-04-08 11:11:50,2024-04-08 11:13:26,IP Address,185.134.146.231,100,96,True,2024-04-08 11:13:26,R_70B8u7k3RPch1Rf,,,,,53.3297,-6.2708,anonymous,EN,I agree,33,Male,Information Technology and Services,4,3,3,3,4,4,4,1,1,4,5,3,4,3,3,4,4,4,4,5,4,3,4,5,5,4,5
2024-04-08 11:13:53,2024-04-08 11:15:51,IP Address,185.134.146.231,100,117,True,2024-04-08 11:15:51,R_2kUrw4MtgTBdfY8,,,,,53.3297,-6.2708,anonymous,EN,I agree,22,Male,Finance and Insurance,5,4,3,4,4,5,5,1,1,4,4,4,4,3,4,4,3,4,3,4,3,4,3,3,3,5,5
2024-04-08 11:15:55,2024-04-08 11:17:12,IP Address,185.134.146.231,100,77,True,2024-04-08 11:17:12,R_6d3VhvYTDniKOZy,,,,,53.3297,-6.2708,anonymous,EN,I agree,29,Female,Retail and Consumer Goods,4,3,3,4,4,3,3,3,1,3,4,3,4,4,2,4,3,3,4,3,4,4,3,4,3,3,4
2024-04-08 11:17:15,2024-04-08 11:18:31,IP Address,185.134.146.231,100,75,True,2024-04-08 11:18:31,R_1gOW18RsUnXzTci,,,,,53.3297,-6.2708,anonymous,EN,I agree,24,Female,Other Industries,3,4,4,5,5,5,4,4,3,4,3,4,4,4,2,4,3,3,3,4,3,4,4,4,3,4,4
2024-04-08 11:18:34,2024-04-08 11:19:44,IP Address,185.134.146.231,100,69,True,2024-04-08 11:19:44,R_289JD3OFBWstCr7,,,,,53.3297,-6.2708,anonymous,EN,I agree,44,Female,Healthcare and Life Sciences,3,4,3,3,3,4,4,1,1,3,3,4,4,4,2,2,4,4,4,4,4,4,4,4,4,3,4
